time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,,
2.17031,-0.010478912,0.00028511,-0.002625087,7.004342181,3.988941009,-8.46E-01,3.982653634,-0.7878825,0.388464142,2.195043912,1.553088202,7.054480169,,,
2.18543,-0.010470509,0.000306263,-0.002272805,6.881511378,4.001253285,-8.43E-01,4.008516457,-0.7805802,0.4862822,2.342560642,1.780850714,7.08082897,,,
2.20149,-0.010461995,0.000322928,-0.001993688,6.76150553,4.010953987,-8.39E-01,4.028205266,-0.7740091,0.548432639,2.49910574,2.00753562,7.02548631,,,
2.21708,-0.010454054,0.000319769,-0.001604905,6.721967997,4.00911532,-8.36E-01,4.024517477,-0.7714382,0.559549696,2.663719013,2.232308537,6.9078252,,,
2.23241,-0.010447,0.000296967,-0.000949384,6.782071288,3.99584234,-8.33E-01,3.997275929,-0.773028,0.558698913,2.836397532,2.4546616,6.785668744,,,
2.2485,-0.010440591,0.000271652,1.74E-05,6.888876206,3.98110716,-8.31E-01,3.965643566,-0.7753743,0.629946674,3.018078789,2.674520919,6.723214458,,,
2.26442,-0.010434251,0.000263302,0.001085109,6.967484256,3.976246837,-8.28E-01,3.954856235,-0.7744082,0.658117323,3.210125757,2.891987899,6.740598242,,,
2.27996,-0.010427477,0.0002764,0.001795232,6.985269936,3.983870863,-8.25E-01,3.971696394,-0.7690175,0.693954858,3.41380895,3.106954095,6.828710653,,,
2.29493,-0.010420102,0.000297167,0.001774384,6.967388044,3.995958822,-8.22E-01,3.997519936,-0.7618837,0.61020942,3.630273289,3.318933039,6.828772085,,,
2.31068,-0.010412297,0.000307715,0.001159053,6.952809477,4.002098701,-8.19E-01,4.010255575,-0.7566898,0.982554047,3.861014148,3.527210206,6.920519472,,,
2.32647,-0.010404368,0.000303583,0.000603434,6.942596712,3.999693733,-8.16E-01,4.005296268,-0.7544758,0.89753995,4.10843129,3.731076826,6.920804388,,,
2.34181,-0.010396544,0.000297257,0.000736509,6.8968054,3.9960112,-8.13E-01,3.997629629,-0.7527647,0.775871723,4.376028675,3.929847835,6.974132141,,,
2.3574,-0.010388859,0.00030483,0.001557912,6.778229204,4.000419634,-8.10E-01,4.006797067,-0.7481952,0.935456887,4.668245495,4.12263671,6.974691253,,,
2.373,-0.01038118,0.000329428,0.002338357,6.59188305,4.014737372,-8.07E-01,4.035731081,-0.7399716,0.700038054,4.990251845,4.308148146,6.908214257,,,
2.38838,-0.010373337,0.000356725,0.002142792,6.384864315,4.030626402,-8.03E-01,4.066468395,-0.7309342,0.799285584,5.347951723,4.484737007,6.767481127,,,
2.40429,-0.010365272,0.000365972,0.000622549,6.216713146,4.036008638,-8.00E-01,4.076581415,-0.7254175,0.925702419,5.748056919,4.650736985,6.567252746,,,
2.41945,-0.010357102,0.000346854,-0.001591016,6.126452859,4.024880906,-7.96E-01,4.05551007,-0.72577,0.649713287,6.195785238,4.804865507,6.34837944,,,
2.43505,-0.010349059,0.000308604,-0.003344797,6.112920519,4.002616291,-7.93E-01,4.011318077,-0.7303355,0.853635323,6.696468097,4.946481583,6.163852908,,,
2.45089,-0.010341296,0.000274783,-0.003817338,6.13647867,3.982929565,-7.90E-01,3.969641311,-0.7343533,0.981021022,7.252218818,5.075561952,6.163106572,,,
2.4668,-0.010333729,0.000268109,-0.002855032,6.14041111,3.979044943,-7.88E-01,3.961089099,-0.7330036,1.001394586,7.839224062,5.192412246,6.062266039,,,
2.48289,-0.010326062,0.00029565,-0.00069713,6.079603724,3.995076006,-7.85E-01,3.995668339,-0.7245294,1.111412834,8.398656093,5.297270449,6.037805399,,,
2.4983,-0.010318037,0.000343886,0.002237346,5.944112681,4.023152985,-7.81E-01,4.052180511,-0.7114297,1.009468433,8.87066607,5.390008863,6.039634502,,,
2.51348,-0.010309681,0.000387715,0.005272302,5.767517465,4.048665249,-7.77E-01,4.099813088,-0.698773,1.10152254,9.115856555,5.470096633,6.008546697,,,
2.52876,-0.010301304,0.000407882,0.007501213,5.609098032,4.060403915,-7.73E-01,4.120715229,-0.690651,1.237670369,8.967341705,5.536867518,5.912082704,,,
2.54442,-0.010293242,0.000402753,0.008100496,5.514429556,4.057418452,-7.69E-01,4.115455344,-0.6876437,1.088643839,8.329012072,5.589947921,5.762161022,,,
2.55991,-0.010285533,0.000384359,0.006699451,5.485733886,4.046711707,-7.65E-01,4.096275792,-0.687476,1.257245977,7.305365362,5.62955487,5.604144757,,,
2.57502,-0.010277727,0.000364794,0.003595828,5.489213641,4.035323334,-7.62E-01,4.075301745,-0.6877385,1.183645838,6.203484782,5.656462005,5.48541707,,,
2.591,-0.010268984,0.00034834,-0.000249732,5.48738919,4.025745691,-7.58E-01,4.057170479,-0.6875432,1.358418829,5.330480338,5.671710184,5.427160349,,,
2.60657,-0.010258535,0.00033498,-0.003508693,5.462134339,4.01796889,-7.55E-01,4.042094093,-0.6868625,1.312445821,4.797114204,5.676313368,5.418018714,,,
2.62183,-0.010246361,0.000326559,-0.005065397,5.414039259,4.013067631,-7.52E-01,4.032419931,-0.6852773,1.490279195,4.530966228,5.671125472,5.428163639,,,
2.66804,-0.01023349,0.000326781,-0.004574841,5.350695892,4.013196583,-7.48E-01,4.032676221,-0.6819601,1.428732,4.41027555,5.656851536,5.428601559,,,
2.68368,-0.010221438,0.000336884,-0.002537991,5.279851339,4.019077421,-7.45E-01,4.044263326,-0.6765638,1.394528676,4.351741082,5.634108209,5.402928056,,,
2.69964,-0.010211134,0.000353518,0.000132212,5.211478206,4.028759632,-7.41E-01,4.062926679,-0.6696937,1.234943116,4.318569428,5.603480283,5.402843337,,,
2.71521,-0.010202351,0.000370529,0.002556727,5.159960073,4.038661428,-7.38E-01,4.081513406,-0.6625779,1.208873791,4.30884111,5.565586714,5.326440495,,,
2.73074,-0.01019411,0.000382359,0.004027014,5.134196546,4.045547322,-7.34E-01,4.09415919,-0.6563807,1.501612584,4.31903594,5.521168726,5.326187401,,,
2.74613,-0.010185549,0.000387127,0.004061219,5.120459796,4.048322721,-7.30E-01,4.099194115,-0.6515493,1.530053745,4.33189007,5.471128625,5.224302178,,,
2.76157,-0.010176446,0.000387745,0.002631594,5.08257192,4.048682798,-7.26E-01,4.099844787,-0.6475422,1.505151609,4.346911551,5.416408455,5.132407187,,,
2.77721,-0.010167085,0.0003896,0.000362852,4.989747224,4.049762262,-7.22E-01,4.101791934,-0.6432693,1.318452359,4.363515389,5.357731053,5.071268247,,,
2.79299,-0.010157836,0.000396316,-0.00165162,4.845016435,4.053671801,-7.18E-01,4.108800811,-0.6379559,1.575714985,4.380771057,5.295411218,5.014258979,,,
2.80826,-0.010148829,0.000407458,-0.002424342,4.681632851,4.060157265,-7.14E-01,4.120282087,-0.6316453,1.332240512,4.39761911,5.229420729,5.013849724,,,
2.82358,-0.010139912,0.000419507,-0.001678425,4.533874713,4.067170542,-7.10E-01,4.132500697,-0.6250326,1.809085638,4.413189169,5.159650379,4.876611087,,,
2.83903,-0.010130799,0.000428291,-3.31E-05,4.417557434,4.072283701,-7.06E-01,4.14128474,-0.6189853,1.725346367,4.426946828,5.086147386,4.695432676,,,
2.85425,-0.010121307,0.000431745,0.001470969,4.334086605,4.074294168,-7.01E-01,4.144710716,-0.6139704,1.276012552,4.438526894,5.009199913,4.513921501,,,
2.86979,-0.010111526,0.000432571,0.002228686,4.276644942,4.074774739,-6.97E-01,4.14552735,-0.6094733,1.423681626,4.448013553,4.929313544,4.364522104,,,
2.88509,-0.010101771,0.00043771,0.002529488,4.224731419,4.077766182,-6.93E-01,4.150591017,-0.6040614,1.662987982,4.455453484,4.847134391,4.261204748,,,
2.90096,-0.010092318,0.000451801,0.003062874,4.146651238,4.085968495,-6.88E-01,4.164305127,-0.5967167,1.487066594,4.46082323,4.763292579,4.197658101,,,
2.91611,-0.010083118,0.000469388,0.003927034,4.025956063,4.096205503,-6.84E-01,4.181085565,-0.5884964,1.698821142,4.463837748,4.678195659,4.149391188,,,
2.93067,-0.010073857,0.000475929,0.004294979,3.888175843,4.100012643,-6.79E-01,4.187235021,-0.5824215,1.635886505,4.463977856,4.591948642,4.089224878,,,
2.94638,-0.01006432,0.000460022,0.003269578,3.79165715,4.090753293,-6.74E-01,4.172193594,-0.5809989,1.44342058,4.460806095,4.504550864,3.993859236,,,
2.96165,-0.010054653,0.000425934,0.001068523,3.782033691,4.07091182,-6.70E-01,4.138937999,-0.5835562,1.695895911,4.45444336,4.416270525,3.880302734,,,
