time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0.187,-0.785389,0.000430551,0,-0.0466143,0.33427448,-0.001855779,0.341953729,0.000674995,0,0.0980094,-0.022366481,-0.057826271
0.19,-0.785389,-0.000305505,0,-0.0227782,-0.334322877,-0.002158569,-0.341831968,-0.00082776,0,0.01913169,-0.022543931,-0.037613778
0.192,-0.785389,0.000421032,0,-0.0466065,0.334278164,-0.001733171,0.341944499,0.000667531,0,0.094103622,-0.023070864,-0.029644505
0.194,-0.78539,-0.000369687,0,-0.0228204,-0.334298036,-0.00209979,-0.341894603,-0.00095092,0,0.020747446,-0.023186218,-0.051776563
0.197,-0.785389,-0.000233273,0,-0.0227946,-0.334350833,-0.002330718,-0.341761125,-0.000701452,0,0.021532525,-0.023510428,-0.022746671
0.199,-0.785387,0.000824343,0,-0.0703428,0.334122072,-0.001497142,0.342329885,0.001496674,0,0.089287107,-0.024045334,-0.047749711
0.201,-0.785386,0.000737583,0,-0.0703112,0.33415565,-0.000754256,0.342247961,0.001396709,0,0.087541656,-0.024313144,-0.075071498
0.204,-0.785393,-0.000956949,0,0.00087107,-0.33407075,-0.001707746,-0.342454061,-0.002088104,0,0.023516659,-0.024184379,-0.035457393
0.206,-0.785387,0.000317105,0,-0.0465462,0.334318387,-0.00138804,0.34184331,0.000491647,0,0.083922149,-0.024774668,-0.029691504
0.208,-0.785391,-4.47E-05,0,-0.0228501,-0.334423816,-0.001432443,-0.341574423,-0.000236568,0,0.025131671,-0.024926478,-0.046631036
0.211,-0.785389,-0.000631915,0,-0.0227744,-0.334196547,-0.002060023,-0.342147457,-0.001473897,0,0.02585901,-0.024981414,-0.01551627
0.214,-0.785391,-6.35E-05,0,-0.0228493,-0.334416539,-0.002122897,-0.34159315,-0.000343657,0,0.026450434,-0.025314751,-0.024259044
0.216,-0.785389,-0.000399429,0,-0.0227723,-0.334286525,-0.002518268,-0.341923529,-0.001055212,0,0.026886758,-0.025374524,-0.034387058
0.218,-0.785387,0.000379288,0,-0.0465251,0.334294321,-0.002134389,0.341903947,0.000540196,0,0.077622591,-0.02570721,-0.054856674
0.221,-0.785384,0.00119507,0,-0.0979815,0.33397859,-0.000927063,0.342673896,0.002291809,0,0.076444823,-0.026062563,-0.070740661
0.223,-0.785391,-0.000458745,0,-0.0228341,-0.334263568,-0.00138377,-0.341981028,-0.001062283,0,0.027774833,-0.025845521,-0.027163601
0.225,-0.785386,0.000724133,0,-0.070278,0.334160856,-0.000654826,0.342235213,0.001376069,0,0.073538349,-0.02635655,-0.034935027
0.228,-0.785385,0.000400162,0,-0.0702555,0.334286242,-0.000253407,0.341924241,0.000767935,0,0.071954966,-0.02650409,-0.051408314
0.23,-0.785391,-0.00075017,0,-0.0228385,-0.334150779,-0.001002665,-0.34225988,-0.001607731,0,0.029058817,-0.026466822,-0.013254372
0.232,-0.785389,-0.000519013,0,-0.0227723,-0.334240243,-0.001519185,-0.342039193,-0.001197214,0,0.029573433,-0.026760102,0.002132746
0.234,-0.78539,-0.000973088,0,0.000997196,-0.334064503,-0.002485193,-0.342469089,-0.002202328,0,0.029986719,-0.026830821,-0.016409892
0.237,-0.785385,0.000763433,0,-0.0702742,0.334145646,-0.001712641,0.342272426,0.001347202,0,0.06677353,-0.027419307,-0.104372953
0.239,-0.785385,0.000339304,0,-0.0702574,0.334309796,-0.001370546,0.341864989,0.000532505,0,0.065472237,-0.027473343,-0.086047418
0.241,-0.785389,-0.000591614,0,-0.0227774,-0.334212144,-0.001958277,-0.342108916,-0.001388375,0,0.031162641,-0.027433438,0.005289732
0.243,-0.785387,0.000479476,0,-0.0465263,0.334255545,-0.00147429,0.342001065,0.000801796,0,0.062669353,-0.027895453,-0.079187137
0.246,-0.78539,-0.00105405,0,0.000991336,-0.334033169,-0.002520898,-0.342544194,-0.002370385,0,0.032009987,-0.02765943,0.000498489
0.248,-0.785389,0.00027395,0,-0.0465736,0.334335089,-0.002243628,0.341801065,0.00031273,0,0.06016611,-0.028121908,-0.082994508
0.25,-0.785389,0.00015269,0,-0.0227601,0.33438202,-0.002089292,0.341681652,8.54E-05,0,0.058831363,-0.028204015,-0.066194152
0.253,-0.785387,0.000478317,0,-0.0465262,0.334255994,-0.001606174,0.341999945,0.0007847,0,0.057440652,-0.028377376,-0.059983625
0.255,-0.785385,0.000955001,0,-0.0702802,0.334071503,-0.000643806,0.342452246,0.001833781,0,0.055892651,-0.02860275,-0.045123596
0.257,-0.785385,0.000981257,0,-0.0702669,0.334061342,0.000340482,0.342476688,0.001984179,0,0.054124989,-0.028754424,-0.046512798
0.26,-0.785391,-0.000389805,0,-0.022834,-0.33429025,-5.00E-05,-0.341914176,-0.000797147,0,0.035576974,-0.028572297,0.01995178
0.262,-0.785391,-0.000915663,0,0.0009625,-0.334086728,-0.000965403,-0.342415534,-0.001940343,0,0.036242045,-0.028580832,0.002597589
0.264,-0.785389,-3.58E-05,0,-0.0227808,-0.33442726,-0.001001037,-0.341565548,-0.000184248,0,0.036863532,-0.028896766,-0.010361901
0.267,-0.785387,5.13E-05,0,-0.0465163,0.334421261,-0.000949491,0.341581,-4.91E-06,0,0.04848189,-0.028972347,-0.08263555
0.269,-0.78539,-0.00109084,0,0.000982269,-0.33401893,-0.002035368,-0.342578168,-0.002397894,0,0.037491833,-0.028730339,-0.004150477
0.271,-0.785389,-0.000299212,0,-0.0228034,-0.334325312,-0.002331665,-0.341825811,-0.000844709,0,0.037214901,-0.028946079,-0.008199793
0.274,-0.785391,-0.000150523,0,-0.0228366,-0.334382859,-0.002480509,-0.341679508,-0.000562457,0,0.036927477,-0.02896938,-0.012146689
0.276,-0.785389,0.000118705,0,-0.0227836,0.334395174,-0.002360389,0.341647996,-1.21E-05,0,0.046635944,-0.029007825,-0.080014224
0.278,-0.785387,0.000423966,0,-0.0465347,0.334277029,-0.001931613,0.341947345,0.000641019,0,0.046317265,-0.029040251,-0.057544646
0.28,-0.785388,0.000374033,0,-0.046548,0.334296354,-0.001554109,0.341898834,0.000578497,0,0.045924569,-0.029000626,-0.043292545
0.282,-0.785389,-0.000204971,0,-0.0227661,-0.334361786,-0.001757555,-0.341733265,-0.000600112,0,0.0354985,-0.02883985,0.016586114
0.285,-0.785388,0.000434212,0,-0.0465395,0.334273063,-0.001319678,0.341957277,0.000721827,0,0.045146852,-0.028988795,-0.051741908
0.287,-0.785391,-0.000178225,0,-0.022855,-0.334372138,-0.001496776,-0.341706885,-0.000521015,0,0.034741953,-0.028821696,0.000158133
0.29,-0.785385,0.000565873,0,-0.0702789,0.334222107,-0.000926836,0.342084239,0.001023978,0,0.044401972,-0.029001492,-0.060078209
0.292,-0.78539,-0.000862125,0,0.00097498,-0.334107449,-0.001785132,-0.342365393,-0.001918176,0,0.033942166,-0.028654835,-0.002672645
0.294,-0.785389,-1.20E-05,0,-0.0227749,-0.334436471,-0.001797029,-0.341541789,-0.000219408,0,0.033641386,-0.028861616,-0.01906859
0.297,-0.785385,0.00151222,0,-0.0702616,0.333855844,-0.000271756,0.342960409,0.002981171,0,0.043353007,-0.029233294,-0.064601045
0.299,-0.78539,-0.000627129,0,0.000974839,-0.334198399,-0.000898068,-0.342142887,-0.001360976,0,0.03291994,-0.028678249,-0.0156744
0.301,-0.785389,-0.000278724,0,-0.022766,-0.334333242,-0.001175593,-0.341805745,-0.00069203,0,0.032634297,-0.028734755,-0.017106555
0.304,-0.785387,0.00103104,0,-0.0703467,0.334042074,-0.000138734,0.342522896,0.002030937,0,0.042355686,-0.029035253,-0.065511059
0.306,-0.785384,0.00147906,0,-0.0979892,0.333868678,0.00134131,0.342930788,0.003074618,0,0.041930054,-0.029165476,-0.060857445
0.308,-0.785387,-0.000146923,0,-0.04654,-0.334384252,0.00119344,-0.341675946,-0.000192201,0,0.031364677,-0.028836524,-0.002489684
0.311,-0.78539,-0.0014665,0,0.000967513,-0.333873539,-0.000281461,-0.342919548,-0.002978411,0,0.03089716,-0.028598176,-0.015365174
0.313,-0.785389,-0.000466172,0,-0.0227687,-0.334260694,-0.000747004,-0.34198821,-0.001023886,0,0.030601089,-0.028916688,-0.030397538
0.315,-0.785385,0.000133086,0,-0.0702741,0.334389608,-0.000613441,0.341662248,0.000187905,0,0.040322992,-0.029103234,-0.084689814
0.317,-0.785389,-0.000683266,0,-0.022767,-0.334176673,-0.001294698,-0.342196398,-0.001512974,0,0.029903071,-0.028962258,-0.019562136
0.32,-0.785387,0.000230627,0,-0.0465326,0.334351857,-0.001062638,0.341758523,0.00033781,0,0.039569566,-0.029260285,-0.070581854
0.322,-0.785389,-0.000268707,0,-0.0227748,-0.334337119,-0.001329977,-0.341795924,-0.000687711,0,0.029188296,-0.029190675,-0.01139119
0.324,-0.785389,-0.000119425,0,-0.0227698,-0.334394895,-0.001448641,-0.34164871,-0.000401132,0,0.028874508,-0.029269752,-0.025486236
0.327,-0.785387,0.000583295,0,-0.0465249,0.334215364,-0.000861289,0.342100946,0.001062877,0,0.038592922,-0.029474335,-0.068917218
0.329,-0.785387,0.000444846,0,-0.0465205,0.334268948,-0.000414604,0.341967577,0.000830337,0,0.038238439,-0.029468628,-0.062558837
0.331,-0.78539,-0.000544707,0,0.000988965,-0.334230299,-0.000958228,-0.342063912,-0.001203252,0,0.027851057,-0.029248318,-0.005658156
0.334,-0.78539,-0.000470735,0,0.000987162,-0.334258928,-0.001426802,-0.34199262,-0.001102304,0,0.027600359,-0.029252357,-0.012448473
0.336,-0.78539,-0.000580423,0,0.00099473,-0.334216476,-0.002003259,-0.342098193,-0.001379577,0,0.027413606,-0.029151033,-0.024643156
0.338,-0.785388,-0.000257966,0,0.00105016,-0.334341276,-0.002258751,-0.341785385,-0.000760557,0,0.027257071,-0.029115973,-0.02866267
0.341,-0.785394,-0.00153033,0,0.0524353,-0.333848835,-0.003772539,-0.342976553,-0.003457251,0,0.027114903,-0.028606236,-0.026202601
0.343,-0.785389,0.000680948,0,-0.022771,0.33417757,-0.003079229,0.342194193,0.001033132,0,0.037114953,-0.028913286,-0.063672495
0.346,-0.785387,0.000387366,0,-0.0227027,0.334291194,-0.002686127,0.341911804,0.000484328,0,0.03695723,-0.028555595,-0.043456668
0.348,-0.785388,0.000574305,0,-0.0227701,0.334218844,-0.002104406,0.342092327,0.000915797,0,0.036727176,-0.028336818,-0.026709691
0.35,-0.78539,-0.000115961,0,0.00097959,-0.334396236,-0.002219199,-0.341645275,-0.00047672,0,0.026463971,-0.027890858,0.02896511
0.352,-0.785387,0.000690878,0,-0.0465222,0.334173726,-0.001520954,0.342203637,0.001206497,0,0.036274785,-0.027819293,-0.030059486
0.355,-0.785387,0.000514044,0,-0.0465078,0.334242166,-0.001003155,0.342034407,0.000904032,0,0.03596954,-0.027532648,-0.028000428
0.357,-0.78539,-0.000513952,0,0.000970397,-0.334242202,-0.001514637,-0.342034318,-0.001203394,0,0.025611322,-0.027062137,0.015991502
