time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
30.348,-0.659686,0.00777755,0,0.0823402,0.331430985,0.300783508,0.347155326,0.336705674,0.201256803,0.139536435,0.09318852,0.214057803
30.35,-0.659678,0.00791785,0,0.0594102,0.331376685,0.301020624,0.347217541,0.336871988,0.155671497,0.139498462,0.095153681,0.18871687
30.352,-0.659673,0.00925971,0,0.08401,0.330857347,0.301295226,0.347743135,0.338258165,0.162471414,0.139423225,0.092387227,0.178432106
30.355,-0.659667,0.00373637,0,0.0852027,0.332995035,0.301404774,0.344768293,0.332620483,0.14715256,0.13943554,0.111666932,0.177542864
30.357,-0.659662,0.00458274,0,0.113751,0.332667466,0.301538526,0.345363835,0.3335089,0.198947868,0.139391712,0.109476058,0.153253202
30.359,-0.659655,0.00347043,0,0.0630389,0.333097961,0.301639248,0.34457066,0.332373567,0.183364705,0.139360701,0.113458919,0.138112947
30.362,-0.659647,0.0053457,0,0.0404523,0.332372179,0.301793742,0.345857151,0.334323712,0.177813908,0.139264919,0.106925165,0.168174432
30.364,-0.659652,0.00355044,0,0.163917,0.333066995,0.301895687,0.344630648,0.332486267,0.152666701,0.139175076,0.111627124,0.120713203
30.366,-0.659651,0.00500643,0,0.188415,0.332503486,0.30203882,0.345642876,0.334003779,0.202961103,0.139096765,0.106041998,0.098595255
30.368,-0.659648,0.00315428,0,0.165346,0.33322032,0.302128455,0.344329171,0.332104833,0.183600777,0.139089956,0.111911942,0.138726293
30.371,-0.659641,0.00455325,0,0.142712,0.33267888,0.302257353,0.345343939,0.333563581,0.19238648,0.139064202,0.10740969,0.128621307
30.373,-0.659638,0.00247985,0,0.143446,0.333481344,0.302327171,0.343790239,0.331431755,0.201042719,0.139072949,0.114380392,0.121740173
30.375,-0.65964,-0.000157002,0,0.191618,-0.334380352,0.301884035,-0.341685916,0.328367565,0.18849972,-0.263800024,0.123219962,0.190664551
30.378,-0.659634,0.000292628,0,0.145179,0.33432786,0.301892406,0.341819366,0.329137182,0.196154044,0.139143725,0.122326306,0.123769041
30.38,-0.659629,0.000933355,0,0.122173,0.334079881,0.301919094,0.342432059,0.329804424,0.198179829,0.139105596,0.120731958,0.124817152
30.382,-0.659627,0.000449077,0,0.122887,0.33426731,0.30193192,0.341971673,0.329304291,0.198088085,0.139042756,0.122560292,0.134357554
30.384,-0.659623,0.000590061,0,0.123627,0.334212746,0.301948764,0.342107429,0.329452505,0.208384408,0.138962422,0.122091905,0.12852331
30.387,-0.65962,0.00236276,0,0.172264,0.333526661,0.302016164,0.343693373,0.331296529,0.183087448,0.1388531,0.116064217,0.129351052
30.389,-0.659623,-0.000156455,0,0.248216,-0.334380563,0.301574921,-0.341685375,0.328355098,0.19119214,-0.262984751,0.124410138,0.187111757
30.391,-0.659616,0.00409037,0,0.197503,0.332858027,0.301693455,0.345023569,0.333064852,0.193559698,0.138750789,0.111479459,0.118025013
30.394,-0.65962,0.000546232,0,0.273706,0.334229709,0.301709205,0.342065377,0.329400947,0.203007502,0.138726256,0.124540822,0.141189307
30.397,-0.659618,0.000659658,0,0.250912,0.33418581,0.301728214,0.342173922,0.329520856,0.209449761,0.13872039,0.126603248,0.147474652
30.399,-0.659618,0.000380198,0,0.251558,0.334293968,0.301739161,0.341904833,0.329232668,0.209945289,0.138736108,0.130610226,0.147909671
30.402,-0.659618,0.000195651,0,0.252487,0.334365393,0.301744791,0.341724079,0.329042148,0.188315599,0.138775499,0.134861281,0.151826573
30.404,-0.659618,0.000478814,0,0.253107,0.334255801,0.301758568,0.342000425,0.329337292,0.21879483,0.138832852,0.138042704,0.179668458
30.406,-0.659616,0.00105964,0,0.226025,0.334031005,0.301789039,0.342549363,0.329942871,0.193023666,0.138906567,0.140634467,0.191836614
30.409,-0.65962,-0.000400876,0,0.278425,-0.334285965,0.300659119,-0.341924934,0.327578144,0.181295492,-0.261867441,0.149979463,0.255205404
30.411,-0.659621,-0.000732223,0,0.302813,-0.334157725,0.298601181,-0.342242882,0.32645247,0.182633523,-0.261585864,0.156071107,0.237293744
30.414,-0.659618,6.31E-05,0,0.256231,0.334416694,0.298603244,0.341592752,0.328688128,0.208686843,0.139175422,0.159032571,0.188380921
30.416,-0.659621,-0.00108493,0,0.304352,-0.334021217,0.29556996,-0.342572717,0.325194817,0.188978483,-0.260815211,0.168396171,0.250878546
30.418,-0.659616,0.000910209,0,0.229766,0.334088839,0.295603298,0.342410436,0.329357361,0.199217238,0.13914296,0.167850388,0.200862256
30.421,-0.659614,0.00118762,0,0.206926,0.333981473,0.295646746,0.34266708,0.329649502,0.219606325,0.139050812,0.172582378,0.205691731
30.422,-0.659618,-0.000414617,0,0.258692,-0.334280647,0.294496289,-0.341938275,0.327107865,0.194399677,-0.259700604,0.182892939,0.267255226
30.425,-0.659605,0.00192917,0,0.109286,0.333694473,0.294569728,0.343326165,0.330344556,0.164356055,0.138863192,0.18014317,0.212004289
30.427,-0.659602,0.00107397,0,0.11,0.334025459,0.294610505,0.342562601,0.329461726,0.23158534,0.13868848,0.186382963,0.209932873
30.43,-0.659599,0.000565703,0,0.0872442,0.334222173,0.294631952,0.342084075,0.328936539,0.207030754,0.138487759,0.190098621,0.215701741
30.432,-0.659598,0.00203211,0,0.111715,0.333654632,0.294708938,0.343414558,0.330464914,0.198720075,0.138242958,0.185858378,0.188102322
30.435,-0.659595,0.000771915,0,0.112744,0.334142363,0.294738102,0.342280444,0.329160942,0.204899759,0.138035076,0.189455956,0.172923814
30.437,-0.659593,0.00101631,0,0.089635,0.334047775,0.294776459,0.342509242,0.329418283,0.19250367,0.137830655,0.187132185,0.183304596
30.44,-0.659586,0.000432655,0,0.0669783,0.334273666,0.294792765,0.341955768,0.328814386,0.194903037,0.137634367,0.186432513,0.16821046
30.442,-0.659583,0.000405522,0,0.0677091,0.334284167,0.29480804,0.341929447,0.328787757,0.182238409,0.13742582,0.182739509,0.148207092
30.444,-0.659583,-0.000546644,0,0.115918,-0.334229549,0.293294506,-0.342065773,0.326640346,0.192720785,-0.257521061,0.181065335,0.257042349
30.446,-0.659582,-0.000883825,0,0.144347,-0.334099051,0.290856906,-0.342385741,0.325468303,0.181688272,-0.257166414,0.176935881,0.221237009
30.449,-0.659577,0.000516704,0,0.117665,0.334241137,0.290879179,0.342036969,0.32862483,0.194763803,0.136931221,0.167027181,0.11106295
30.451,-0.659576,0.00363227,0,0.118305,0.333035325,0.291035639,0.34469153,0.331868793,0.177843708,0.136668518,0.151273306,0.126208364
30.453,-0.659575,0.00174392,0,0.146735,0.33376617,0.291110372,0.343165191,0.329918738,0.198826711,0.136440909,0.151860702,0.115218058
30.456,-0.659576,0.000680465,0,0.171456,0.334177757,0.291139461,0.342193734,0.328817558,0.247989072,0.136243346,0.149971376,0.115143352
30.458,-0.659579,-0.000536114,0,0.219588,-0.334233625,0.289669052,-0.34205565,0.326418079,0.16153257,-0.255597081,0.149038636,0.194860526
30.46,-0.659578,0.00036887,0,0.196456,0.334298353,0.289685579,0.341893808,0.328390406,0.194762776,0.135952305,0.142026098,0.109550259
30.463,-0.659575,-4.62E-05,0,0.197511,-0.334423237,0.289559358,-0.341575912,0.327861424,0.189975107,-0.254819958,0.139976414,0.209293357
30.465,-0.659578,-0.00112221,0,0.24565,-0.334006789,0.286494017,-0.342607061,0.324454794,0.195152764,-0.254302557,0.140702019,0.187196196
30.467,-0.659574,0.000250374,0,0.198789,0.334344214,0.286506401,0.341777931,0.328039311,0.218257964,0.135503779,0.134397459,0.121974242
30.47,-0.659573,0.000243189,0,0.175978,0.334346995,0.286518425,0.341770872,0.3280328,0.218504427,0.135282548,0.133133352,0.135246554
30.472,-0.659578,-0.00118955,0,0.247843,-0.333980726,0.283294712,-0.342668846,0.324024811,0.209233092,-0.252814659,0.136813119,0.196814615
30.474,-0.659576,-0.000342188,0,0.224701,-0.334308679,0.282375145,-0.341867803,0.32646687,0.180841216,-0.252243529,0.133898765,0.217047195
30.476,-0.659571,0.000962037,0,0.154064,0.33406878,0.282428797,0.342458801,0.328484224,0.211440955,0.134625762,0.130088623,0.144431314
30.479,-0.659573,-0.000240519,0,0.178713,-0.334348028,0.281783911,-0.341768248,0.326724576,0.227312944,-0.251044505,0.134417919,0.220406319
30.481,-0.659571,0.000450023,0,0.155547,0.334266944,0.281809427,0.341972589,0.327906438,0.180789273,0.134060851,0.13266863,0.136500753
30.484,-0.659566,0.00208225,0,0.0812067,0.333635226,0.281927403,0.343457339,0.329611907,0.179592106,0.133717967,0.127747326,0.153331406
30.486,-0.659571,-0.000250019,0,0.15699,-0.334344351,0.281257926,-0.341777582,0.326657616,0.176265354,-0.249491698,0.135097422,0.221387708
30.488,-0.659568,-0.000327642,0,0.157644,-0.334314309,0.280382139,-0.341853605,0.326363721,0.181491451,-0.248907763,0.135046474,0.227433105
30.49,-0.659563,0.00102988,0,0.0829913,0.334042523,0.280442824,0.342521822,0.328409184,0.1576759,0.132791299,0.130287572,0.135982989
30.493,-0.659556,0.0036816,0,0.0602246,0.333016233,0.280659405,0.344728001,0.331178192,0.154417978,0.132375136,0.120642719,0.126446039
30.495,-0.659556,0.00382123,0,0.108372,0.332962192,0.280882878,0.344830298,0.331337697,0.176529569,0.131948194,0.118528205,0.132211049
30.497,-0.659553,0.00264652,0,0.085202,0.333416838,0.281036709,0.343926436,0.33012948,0.212784972,0.131572738,0.120553397,0.116382392
30.499,-0.659552,0.000758375,0,0.109602,0.334147603,0.281080604,0.342267643,0.32816965,0.181067697,0.131235108,0.124538438,0.107402992
30.501,-0.659552,0.000148411,0,0.110143,0.334383677,0.281089184,0.341677419,0.327535621,0.207323152,0.130922058,0.124187603,0.118466142
30.504,-0.65955,0.000524418,0,0.0872226,0.334238151,0.281119494,0.342044397,0.327928964,0.149883378,0.130620102,0.120485893,0.1039653
30.506,-0.659545,0.000647606,0,0.0641207,0.334190474,0.281156893,0.342162432,0.328059745,0.184121272,0.130326838,0.117331979,0.1078225
30.508,-0.659543,0.000312194,0,0.0647521,0.334320288,0.281174903,0.341838509,0.327712037,0.173080523,0.130040564,0.115250889,0.113850453
30.511,-0.659539,0.000107083,0,0.0656692,0.334399672,0.281181078,0.341636468,0.327499059,0.182939799,0.129761621,0.112386992,0.095488899
30.514,-0.659536,0.00325312,0,0.0665904,0.333182067,0.281368626,0.344405433,0.330781823,0.184710494,0.129444148,0.098262985,0.100418166
30.516,-0.659533,0.00182785,0,0.0672548,0.333733686,0.281473461,0.343238426,0.329308963,0.161735392,0.129178756,0.099011015,0.101867548
30.519,-0.659532,-0.000776538,0,0.139524,-0.334140574,0.279396599,-0.342284811,0.324957389,0.179629355,-0.244681581,0.103532155,0.202015432
30.521,-0.659528,0.000487942,0,0.0926214,0.334252268,0.279426125,0.342009239,0.327765497,0.150318887,0.128773342,0.095922264,0.089292541
30.524,-0.659525,-0.000110522,0,0.093568,-0.334398341,0.279132119,-0.34163988,0.326908928,0.181951709,-0.243985492,0.094554672,0.180329381
30.526,-0.659524,-0.00058442,0,0.117956,-0.334214929,0.277578675,-0.342102024,0.325392139,0.166115568,-0.243540059,0.092930576,0.17514524
30.53,-0.659523,-0.000185747,0,0.119109,-0.334369226,0.277086962,-0.341714309,0.326535527,0.196161431,-0.243009527,0.088827299,0.173515128
30.533,-0.659526,0.000376861,0,0.195244,0.33429526,0.27711119,0.341901586,0.327479102,0.169180564,0.127939155,0.084581857,0.056336489
30.535,-0.659527,0.000374213,0,0.195799,0.334296285,0.277135233,0.341899009,0.327477891,0.210587989,0.127690736,0.083283534,0.077333613
30.537,-0.659526,0.000653797,0,0.172639,0.334188078,0.277177213,0.342168335,0.327771715,0.182609421,0.127454236,0.082064919,0.089182394
30.54,-0.659528,-0.000386312,0,0.197251,-0.334291602,0.276155644,-0.34191078,0.325872289,0.187446447,-0.241268384,0.085875269,0.179729521
30.542,-0.659531,-0.000886517,0,0.245327,-0.334098009,0.273817653,-0.342388263,0.324218885,0.182387045,-0.240764416,0.088739248,0.152167881
30.544,-0.659526,0.000920731,0,0.174661,0.334084767,0.273881909,0.34242027,0.327804884,0.203226736,0.126876723,0.085193631,0.128167825
30.547,-0.659528,0.000343969,0,0.199269,0.33430799,0.273905877,0.34186954,0.327205369,0.173763841,0.126635429,0.08987919,0.100540089
30.549,-0.659533,-0.00114267,0,0.271085,-0.33399887,0.270910271,-0.342625867,0.323243143,0.166059532,-0.239269072,0.098099498,0.168125875
30.551,-0.659526,0.000607843,0,0.200465,0.334205863,0.270955753,0.342124451,0.327259577,0.162486419,0.126211311,0.096786509,0.138794558
30.554,-0.659528,-0.000839477,0,0.22509,-0.334116214,0.268772221,-0.34234412,0.323978873,0.215177445,-0.238229104,0.106275541,0.198446763
30.556,-0.659528,0.000369807,0,0.201867,0.33429799,0.268801294,0.34189472,0.326848848,0.173784397,0.125775892,0.107482525,0.146212752
30.558,-0.659528,-2.10E-05,0,0.202438,-0.334433002,0.268747076,-0.341550744,0.326396981,0.195106629,-0.237165181,0.114078189,0.20682206
30.56,-0.659525,0.000176442,0,0.203082,0.334372828,0.268760954,0.341705125,0.326643797,0.147090727,0.12531153,0.118814228,0.144633556
30.563,-0.659526,0.000299839,0,0.180115,0.33432507,0.268784532,0.341826424,0.326773817,0.180081182,0.125064955,0.12380597,0.161011039
30.565,-0.659524,0.000968513,0,0.152955,0.334066274,0.268860651,0.342464831,0.327475461,0.20743095,0.124816024,0.126758458,0.144957722
30.568,-0.659523,0.00163777,0,0.130056,0.333807253,0.268989146,0.343071848,0.32818029,0.192569922,0.1245724,0.129196659,0.182686554
30.57,-0.659527,-0.00118999,0,0.229662,-0.333980556,0.265910147,-0.342669248,0.322720629,0.182196845,-0.235129017,0.14238503,0.218132927
30.573,-0.659523,0.000183596,0,0.183033,0.334370059,0.265925533,0.341712187,0.32643181,0.172915584,0.12421351,0.141967577,0.16374248
30.575,-0.659526,0.0002672,0,0.183508,0.334337702,0.265947917,0.341794446,0.32652025,0.174431636,0.124024299,0.145480109,0.162798656
30.578,-0.659528,-0.000745724,0,0.208088,-0.3341525,0.264034115,-0.342255671,0.323890965,0.152477105,-0.233988129,0.152283259,0.207139326
30.58,-0.659521,0.00143179,0,0.133488,0.333886973,0.264159068,0.342888428,0.327596646,0.178773544,0.123690733,0.148529473,0.179890091
30.581,-0.659527,-0.000808697,0,0.208935,-0.334128127,0.262093641,-0.342315151,0.323553275,0.191880631,-0.233163395,0.158483083,0.213282766
